Порядковое число администрации и комитета,Название организации  (спортивного объекта),Сфера деятельности (вид спорта),Тип (каток/лыжная трасса),Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Время суток (день/ ночь/ день и ночь),Расположение (открытый/закрытый),Стоимость услуг (платно/ бесплатно),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Наличие кафе на территории (да/нет),Иные услуги (перечень),Освещение
18.001,"АО ""Большой Гостинный Двор""",Фигурное катание,Каток,"Санкт-Петербург, Невский пр., д. 35",Внутренняя территория Большого Гостинного Двора,"59.933441,30.331275","Станция метро ""Гостинный Двор""",Центральный,8(981)990-01-56,Http://bgd.ru,Работа приостановлена до ноября 2023 г.,11.00-23.30,День,Открытый,Платно,"Да, вход на инвалидной коляске недоступен",True,True,False,True,True,"Льготные билеты, оплата картой, заточка коньков",Внутридворовое освещение
18.002,"Многофункциональный развлекательный комплекс ""Таврический сад""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Потёмкинская ул., д. 4А",Таврический сад,"59.94645,30.368979","Улица Чайковского, Киноцентр Ленинград",Центральный,8(812)605-00-81; 8(812)329-55-34,Http://tavrsad.com,Работающий,Круглосуточный,День и ночь,Закрытый,Платно,Да,True,True,True,True,True,"Гардероб, оплата картой, заточка коньков",Имеется
18.003,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга"" (Стадион Таврического сада)","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Кирочная ул., д. 50, лит. А",Стадион Таврического сада,"59.945815,30.368788",Потемкинская ул.; музей А.В. Суворова,Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Да,True,False,True,True,False,,Имеется
18.004,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Социалистическая ул., д. 3","Санкт-Петербург, участок 2 (юго-западнее дома 3, лит. А по Социалистической ул.)","59.946327,30.384025","Станция метро ""Звенигородская""",Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Нарушение слуха нарушение и тотальная визуальная слепота интеллектуальные нарушения поражение верхних конечностей,False,False,False,False,False,,Имеется
18.005,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Кавалергардская ул., д. 9/11","Санкт-Петербург, Кавалергардская ул., участок 2 (севернее дома 2а, лит. Б по Очаковской ул.)","59.926578,30.380746",Кавалергардская улица,Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Да,False,False,False,False,False,,Имеется
18.006,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Исполкомская ул., д. 5","Санкт-Петербург, участок 4 (юго-восточнее дома 5, лит. А по Исполкомской ул.)","59.926578,30.380746","Конная улиа, станция метро ""Площадь Александра Невского""",Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Да,False,False,False,False,False,,Внутридворовое освещение
18.007,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Моховая ул., д. 12","Санкт-Петербург, Моховая ул., участок 10 (восточнее дома 12, лит. А по Моховой ул.)","59.945049,30.345548",Моховая улица,Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Да,False,False,False,False,False,,Имеется
18.008,"ОАО СПП ""Центральное""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, пр. Бакунина","Овсянниковский сад ,спортивная площадка","59.930843,30.377733",5-я Советская улица,Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Да,False,False,False,False,False,,Парковое освещение
18.009,"Комитет по промышленной политике, инновациям и торговле Санкт-Петербурга",Фигурное катание,Каток,"Санкт-Петербург, Манежная площадь",Манежная площадь,"59.935903,30.340338",Гостинный двор,Центральный,8(812)576-03-60,Http://gov.spb.ru/gov/otrasl/c_culture/,Работающий,12.30-20.30,День,Открытый,Бесплатно,Нарушение слуха нарушение и тотальная визуальная слепота интеллектуальные нарушения поражение верхних конечностей,True,False,True,True,False,,Внутридворовое освещение
18.010,Комитет по культуре Санкт-Петербурга,Фигурное катание,Каток,"Санкт-Петербург, Конюшенная площадь",Конюшенная площадь,"59.941011,30.326181","Гостинный двор, Адмиралтейская",Центральный,8(812)576-80-06,Https://cipit.gov.spb.ru,Работающий,09.30-23.30,День,Открытый,Платно,Нарушение слуха нарушение и тотальная визуальная слепота интеллектуальные нарушения поражение верхних конечностей,True,False,False,False,True,,Внутридворовое освещение
18.011,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга""",Лыжная трасса,Лыжная трасса,"Кирочная ул., д. 50, лит. А",Таврический сад,"59.945178,30.371623",Потемкинская ул.; музей А.В. Суворова,Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Нарушение слуха нарушение и тотальная визуальная слепота интеллектуальные нарушения поражение верхних конечностей,True,False,True,True,False,,Парковое освещение
8.001,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Партизана Германа, дом 8, корпус 2, литера А",,"59.838019,30.177447",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.002,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Партизана Германа, дом 21, литера А",,"59.836757,30.172578",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Отсутствует
8.003,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Партизана Германа, дом 28, литера А",,"59.827356,30.178156",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
8.004,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, проспект Кузнецова, дом 26, корпус 1, литера А",,"59.852579,30.186088",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
8.005,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"Санкт-Петербург, Красносельское шоссе, дом 34, литера А",,"59.785934,30.144523",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.006,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, Ленинский проспект, дом 100, корпус 2, литера А",,"59.854291,30.219901",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.007,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Маршала Захарова, дом 27, корпус 1, литера А",,"59.850888,30.203363",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
8.008,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Чекистов, дом 38, литера А",,"59.842825,30.149967",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
8.009,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Здоровцева, дом 8, литера А",,"59.840139,30.163738",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Не работающий,9.00-22.00,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.010,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"Красное село, п. Хвойный, д. 92",,"59.670708,30.074855",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Не работающий,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.011,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Лыжная трасса,"г.Санкт-Петербург, Петергофское шоссе, дом 27, литера А",Южно-Приморский парк,"59.85068,30.173791",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.012,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Лыжная трасса,"г.Санкт-Петербург, Авангардная улица, дом 16, литера Д",Полежаевский парк,"59.835243,30.184489",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Работающая,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.013,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Лыжная трасса,"Санкт-Петербург, ул. Здоровцева, д. 8, лит. А",От ул. Чекистов вдоль реки Ивановки до пр. Ветеранов,"59.840139,30.163738",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.014,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Лыжная трасса,"Горелово, Красносельское шоссе, д. 34",,"59.785934,30.144523",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.015,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Лыжная трасса,"Санкт-Петербург, город Красное Село, Красногородская улица, дом 7, корпус 3, литера А",Новый микрорайон,"59.720803,30.089924",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.016,ГБУ спортивная школа Красносельского района СПб,"Лыжные гонки, массовое катание",Лыжная трасса,"Красное Село, пр. Двадцать Пятого Октября, д. 105, лит. А",,"59.692551,30.120143",М. Проспект Ветеранов,Красносельский,730-96-66,Http://sh.krsl.gov.spb.ru,Работающая,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Уличное освещение
8.017,ГБОУ Лицей № 369,Хоккей для учащихся,Каток,"г.Санкт-Петербург, улица Маршала Захарова, дом 52, литера А",,"59.851837,30.206408",М. Проспект Ветеранов,Красносельский,751-17-17,Http://369.shkola.spb.ru/katok.html,Работающий,15:00–22:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,Ограничен доступ (только для учащихся ГБОУ Лицей № 369),Имеется
8.018,"Спортивный комплекс ""Рубеж""","Хоккей, фигурное катание, массовое катание",Каток,"г.Санкт-Петербург, проспект Ветеранов, дом 123, строение 1",,"59.834203,30.170341",М. Проспект Ветеранов,Красносельский,8-921- 410-25-62,Vk.com/sc_rubezh.,Не работающий,09:00–20:00,День,Закрытый,Платно,Частично доступен,True,True,True,False,True,,Имеется
8.019,Ледовый каток в Южно-Приморском парке,Массовое катание,Каток,"г.Санкт-Петербург, Петергофское шоссе, дом 27, литера А",Южно-Приморский парк,"59.85068,30.173791",М. Проспект Ветеранов,Красносельский,"8-952- 397-09-11, 8-921- 186-31-70",Katok.планеталета.рф park-planetaleta.ru,Работающий,"Пн–пт 12:00–22:00, сб, вс 11.00-22.00",День,Открытый,Платно,Частично доступен,True,False,True,True,False,,Имеется
8.020,"Яхт-клуб ""Балтиец""",Массовое катание,Каток,"г.Санкт-Петербург, Петергофское шоссе, дом 75, корпус 1, литера Б",,"59.857233,30.119451",М. Проспект Ветеранов,Красносельский,"744-82-69, 572-06-34",Baltclub.com.,Не работающий,09:00–20:00,День,Открытый,Платно,Частично доступен,False,False,False,False,False,,Имеется
8.021,"Рынок ""Юнона""",Массовое катание,Каток,"г.Санкт-Петербург, улица Маршала Казакова, дом 35, литера А",,"59.862506,30.211044",М. Проспект Ветеранов,Красносельский,"385-49-68, 501-10-10",Www.unona.market,Не работающий,09:00–20:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Имеется
2.001,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, Средний пр. В.О., д.87, к.2, лит. А","Санкт-Петербург, Малый пр. В.О., д.66","59.938788,30.250031","Василеостровская, Приморская",Василеостровский,322-68-15,Http://centrsporta.ru,Работающий,23:00-05:00,Ночь,Закрытый,Платно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",True,True,True,False,True,"Заточка коньков, туалеты, медицинский пункт",Имеется
2.002,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, 17 линия В.О., д.18",,"59.936895,30.267642",Василеостровская,Василеостровский,322-68-15,Http://centrsporta.ru,Работа объекта приостановлена до ноября 2023,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Имеется
2.003,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, Наличная ул., д.5",,"59.930603,30.237997","Василеостровская, Приморская",Василеостровский,322-68-15,Http://centrsporta.ru,Работа объекта приостановлена до ноября 2023,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Отсутствует
2.004,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, Наличная ул., д.40, к.4",,"59.951319,30.228051",Приморская,Василеостровский,322-68-15,Http://centrsporta.ru,Работа объекта приостановлена до ноября 2023,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Имеется
2.005,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, ул. Кораблестроителей, д.39, лит.Г",,"59.954515,30.231749",Приморская,Василеостровский,322-68-15,Http://centrsporta.ru,Работа объекта приостановлена до ноября 2023,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Имеется
2.006,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, ул. Карташихина д.19",,"59.935709,30.240235","Василеостровская, Приморская",Василеостровский,322-68-15,Http://centrsporta.ru,Работа объекта приостановлена до ноября 2023,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Имеется
2.007,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, ул. Карташихина д.19",,"59.936065,30.240159","Василеостровская, Приморская",Василеостровский,322-68-15,Http://centrsporta.ru,Работа объекта приостановлена до ноября 2023,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Имеется
2.008,Каток у моря (Севкабель Порт),Катание на коньках,Каток,"Санкт-Петербург, Кожевенная линия, д.40, лит.Е",,"59.924957,30.239763","Василеостровская, Приморская",Василеостровский,213-32-02,Https://sevcableport.ru/ru/katok,Работа объекта приостановлена до ноября 2023,"Пн-чт: 11:00-21:00, пт-вс: 11:00-22:30",День,Открытый,Платно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",True,True,True,True,True,"Заточка коньков, салазки, туалеты, медицинский пункт",Имеется
2.009,Каток на Ваське,Катание на коньках,Каток,"Санкт-Петербург, ул. Кораблестроителей, д.14, лит.Б","Санкт-Петербург, площадь Беллинсгаузена","59.938324,30.210576",Приморская,Василеостровский,89967763739,Https://vk.com/katoknavaske,Работа объекта приостановлена до ноября 2023,"Пн-чт: 11:00-21:00, пт-вс: 11:00-22:30",День,Открытый,Платно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",True,False,True,True,False,"Заточка коньков, туалеты",Имеется
2.010,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",Передвижение на лыжах,Лыжная трасса,Морская набережная,Морская набережная напротив дома 15,"59.940523,30.209236",Приморская,Василеостровский,322-68-15,Http://centrsporta.ru,Работа объекта приостановлена до ноября 2023,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения",False,False,False,False,False,,Имеется (уличное)
2.011,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",Передвижение на лыжах,Лыжная трасса,Средний проспект (В.О.),Сад Василеостровец,"59.933747,30.257208",Василеостровская,Василеостровский,322-68-15,Http://centrsporta.ru,Работа объекта приостановлена до ноября 2023,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения",False,False,False,False,False,,Имеется (уличное)
2.012,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Василеостровского района""",Передвижение на лыжах,Лыжная трасса,Уральская ул.,Сад Декабристов,"59.954065,30.238786",Приморская,Василеостровский,322-68-15,Http://centrsporta.ru,Работа объекта приостановлена до ноября 2023,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения",False,False,False,False,False,,Имеется (уличное)
13.001,"СПб ГБУ ""ЦФКСиЗ Петроградского района""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, ул. Куйбышева, д. 33\8, лит. А",,"59.9572,30.33466","Горьковская, ул. Чапаева, д. 29",Петроградский,576-51-12,Cfszpr.ru,Работа объекта приостановлена до ноября 2023 г.,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Внутридворовое освещение
13.002,"СПб ГБУ ""ЦФКСиЗ Петроградского района""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, ул. Рентгена, д. 6, лит. А",,"59.96427,30.31628","Петроградская, Каменноостровский пр., д.21",Петроградский,576-51-12,Cfszpr.ru,Работа объекта приостановлена до ноября 2023 г.,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Внутридворовое освещение
13.003,ГБУ СШ Петроградского района,"Хоккей, фигурное катание",Каток,"Санкт-Петербурга, наб. реки Карповки, д.28",,"59.96902,30.30221","Петроградская, наб.реки Карповки,д.27",Петроградский,246-30-85,Petrosportschool.ru,Работа объекта приостановлена до ноября 2023 г.,9:00-21:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Внутридворовое освещение
13.004,"СД Хоккейный филиала ФАУ МО РФ ЦСКА (СКА, г.Санкт-Петербург)","Хоккей, фигурное катание",Каток,"г.Санкт-Петербург, ул. Ждановская, д.1",,"59.95746,30.27935","Спортивная, Чкаловская, ул. Жданоская., д.32",Петроградский,237-00-72,Spbska.ru,Работа объекта приостановлена до ноября 2023 г.,05:00-01:00,День и ночь,Закрытый,Платно/бесплатно,Нет,False,False,True,False,True,,Имеется
13.005,СПб ГБУК МДК ЦПКиО им. С.М. Кирова,Массовые любительские катания на коньках,Каток,"Санкт-Петербург, Елагин остров, д. 4, лит. Б",,"59.98084,30.26631","Крестовский остров, Старая Деревня",Петроградский,"430-28-21, 430-09-11",Https://elaginpark.org/,Работа объекта приостановлена до ноября 2023 г.,Пн-чт: 08:30-21:00; Пт-вс: 08:30-23:00,День,Открытый,Платно/бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",True,False,True,False,True,,Парковое освещение
13.006,СПб ГБУК МДК ЦПКиО им. С.М. Кирова,Массовые любительские катания на коньках,Каток,"Санкт-Петербург, Елагин остров, д. 4, лит. Б",,"59.98045,30.2512","Крестовский остров, Старая Деревня",Петроградский,"430-28-21, 430-09-11",Https://elaginpark.org/,Работа объекта приостановлена до ноября 2023 г.,Пн-вс: 10:30-21:00,День,Открытый,Платно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",True,False,True,False,True,,Парковое освещение
13.007,СПб ГБУК МДК ЦПКиО им. С.М. Кирова,Лыжный спорт,Лыжная трасса,"Санкт-Петербург, Елагин остров, д. 4, лит. Б",,"59.97633,30.25855","Крестовский остров, Старая Деревня",Петроградский,"430-28-21, 430-09-11",Https://elaginpark.org/,Работа объекта приостановлена до ноября 2023 г.,Пн-вс: 11:00-19:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",True,False,True,True,True,Прокат зимнего спортивного инвентаря,Парковое освещение
13.008,"АО ""Зенит-Арена"" (""Каток у Флагштока"")",Массовые любительские катания на коньках,Каток,"Санкт-Петербург, М.О.Чкаловское, Южная дорога, д.28",,"59.970357,30.21447",Зенит,Петроградский,+7-921-744-40-33,Https://flagshtock.ru/,Работа объекта приостановлена до ноября 2023 г.,Пн-чт: 10:00-22:00; Пт: 10:00-23:30; Сб: 8:30-23:30; Вс: 8:30-22:00,День,Открытый,Платно/бесплатно,Частично доступен,True,True,True,True,True,"Заточка коньков, туалеты, медицинский пункт, бесплатный wi-fi",Имеется
13.009,"ООО ""Управление спортивных сооружений ""Динамо""","Фигурное катание, хоккей",Каток,"Санкт-Петербург, пр. Динамо, д. 44",,"59.96898,30.26512",Крестовский остров,Петроградский,+7-967-530-05-31,Dinamobeach.ru,Работа объекта приостановлена до ноября 2023 г.,10:00-23:00,День,Открытый,Платно,Нет,True,False,True,False,True,"Теплая раздевалка, парковка рядом с катком, 3 зоны на льду (зона для хоккея, зона для массового катания, зона для начинающих)",Имеется
13.010,Лыжная трасса в Приморском парке Победы,Лыжные гонки,Лыжная трасса,"Санкт-Петербург, Крестовский пр., д. 23, лит. А",Батарейная дорога Приморского парка Победы,"59.972227,30.237498","Станция метро «Зенит», станция метро «Крестовский остров», автобусная станция «Крестовский остров»",Петроградский,417-40-64,,Работа объекта приостановлена до ноября 2023 г.,8:00-20:00,День,Открытый,Бесплатно,Ограничений нет,False,False,True,True,False,,Имеется
1.001,"СПб ГБУ ""Центр спорта Адмиралтейского района""","Хоккей, катание на коньках",Каток,"г. Санкт-Петербург, ул. Можайская д.44-48, лит. А",,"59.913429,30.330735",М. Пушкинская,Адмиралтейский,316-37-05,Http://www.cfkadm.ru/,Работа объекта приостановлена до ноября 2023 г.,09:00-21:00,День,Открытый,Бесплатно,Частично доступен,False,False,True,False,False,,Имеется
1.002,"СПб ГБУ ""Центр спорта Адмиралтейского района""","Хоккей, катание на коньках",Каток,"г. Санкт-Петербург, наб. реки Фонтанки, д.150","Уч.12 (во дворе дома 150, литера А)","59.915652,30.285882",М. Балтийская,Адмиралтейский,316-37-05,Http://www.cfkadm.ru/,Работа объекта приостановлена до ноября 2023 г.,09:00-21:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Внутридворовое освещение
1.003,"СПб ГБУ ""Центр спорта Адмиралтейского района""","Хоккей, катание на коньках",Каток,"г. Санкт-Петербург, Лермонтовский пр., д.49","Уч. 6 (западнее дома 49, литера А)","59.912608,30.297246",М. Балтийская,Адмиралтейский,316-37-05,Http://www.cfkadm.ru/,Работа объекта приостановлена до ноября 2023 г.,09:00-21:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Внутридворовое освещение
1.004,СПБ ГКУ «Парк »Екатерингоф«;,Передвижение на лыжах,Лыжная трасса,"г. Санкт-Петербург, ул. Лифляндская, д.12","Парк Екатерингоф, восточная часть","59.902036,30.260164",М. Нарвская,Адмиралтейский,316-37-05,Http://www.cfkadm.ru/,Работа объекта приостановлена до ноября 2023 г.,09:00-21:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Парковое освещение
1.005,СПБ ГКУ «Парк »Екатерингоф«;,Передвижение на лыжах,Лыжная трасса,"г. Санкт-Петербург, ул. Лифляндская, д.5","Парк Екатерингоф, западная часть","59.901626,30.25507",М. Нарвская,Адмиралтейский,316-37-05,Http://www.cfkadm.ru/,Работа объекта приостановлена до ноября 2023 г.,09:00-21:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Парковое освещение
1.006,Новая Голландия,Катание на коньках,Каток,"г. Санкт-Петербург, наб. Адмиралтейского канала, д. 2",,"59.92961,30.287104",М. Адмиралтейская,Адмиралтейский,985-33-66,Https://www.newhollandsp.ru/rink/,Работающий,09:00-21:00 пт-сб 09:00-23:00,День,Открытый,Платно,Частично доступен,True,True,True,True,True,Туалеты,Имеется
